tweet,label,original_split
this life is so funny sef you will work hard and buy cloths and shoes and rain will start dictating when to wear them for you because you see rain to wear white na war to wear suede na wahala shoe wey i take my money buy,negative,train
dis is unfair of urcompany goingtowks nw ive bin complaining abt d subscriptioni did wch did nt reflect on mydecoder nd im givin u an ultimatum else u willbsurprised my next reactnim makin dis publicly nw ive chatted u privately showing evidence of payment,negative,train
lil wayne don vex me im actually not excited again,negative,train
dis is unfair of ur company going to wks nw ive bin complaining abt d subscriptioni did wch did nt reflect on mydecoder nd im givin u an ultimatumelse u will surprise my next reactnim makin dis publicly nw ive chatted u privately showing evidence of payment,negative,train
e be like u sef dey mad,negative,train
sure parole with dem boys dey mainland like this but no be me dem go use trend tomorrow these lagos police officers are unruly,negative,train
daddy mi o if a day is possible sef we go come dey chop chips and gala like if we walk too far from departure we go miss flight,negative,train
family dey call ooif no be billing na something dey sup oo real st come and drop your wetin my eyes don see vibe on this guy track abeg worldbest na skylevel only ️,negative,train
sweater god e don dey be like my supervisor disturbing me for project,negative,train
chews loudly because i cant stand snoring its one of my greatest fear in marriage marry wife finish she con dey snore omo na to return the wife,negative,train
if by tomorrow i cannot make transactions with my account ill be done with yall and thats on period i know the money wey dey there na small thing butmake e work well napeople cannot even help my lifewhats this one na,negative,train
like where i wan dey see k monthly where i dey work,negative,train
yess ooo be like e don cancel trip sef sigh,negative,train
person wey i wan shoot shot to don egbonzone me again ooo,negative,train
you see those ones wey dey change paper to money i no dey believe say dem dey exist until d day dem run me pure street since last year sept i still dey think about my k till today na k these bastards use to cover d perfectly cut cartons wey be like real money ot of life,negative,train
na the witchcraft part omo e just dawn on me say true dem don turn black witches o,negative,train
this ramadan im reporting plenty people to god una don too do me strong thing,negative,train
you see why sticking to what youre familiar with is the best when making food choices just had the trashiest creamy chicken sauce with basmati rice and i dont know how to feel well maybe not trashy its just not something im used to i no dey chop pass rice and stew,negative,train
please i find it difficult to understand this space ehnneveryday every new morning different thingsee ehnn i know say luno own na savings una help me do see if una touch wálai i go cry my tired i seriously exhausted,negative,train
abeg please wetin dey happen i havent eaten since morning because of you people and im not owing oooo,negative,train
futo babes ‍️ you sha not misbehave with dem cause dem dey burst bottle,negative,train
she ws floggin me dat very day d beatin ws so much dat i try fight back nd dis man came rm nowhere omg i almost die dat daydat my head wey no correct full of koko nd my mom was there watching dat ws d last day she floggin me always sha obt i see hell return dat day,negative,train
went to see mortal kombat at imax lekki e be like say subzero dey the cinema hall the main cold wey wan finish us ehn,negative,train
guy i told this man my surname e shout e say taaa you get money na say my papa even grandpa made money alaye im jobless you wan make i dey buy beer every day gon meet my grandpa,negative,train
i subscribe gb una no go allow am last now again una dey use una network they test my patience atleast lemme enjoy the network now even if i wont enjoy my data,negative,train
a letter to my ex dear miss amaka you been tell me say ikechukwu na your brother all those years only for you to invite me come wedding come see you dey marry the same ikechukwu my chest still dey pain me till today for my leg and my abdomen region,negative,train
e con be like say i no even dey do anything,negative,train
no light heat come dey againand our forever tenantmosquitoes dey also do their job which kind wahala be this,negative,train
fine girl = wahala and wahala no dey finish so dem dey fear us,negative,train
make pple d dey very careful wit diz end of month oo month don end month don end ehhenn who tell u say month end nah pay day some pple month nah dayz abeg make una take am easy wit pple oo diz monin i hear wife dey corey wit husband ontop breakfast money,negative,train
lmao hin no dey see zero na e dey see,negative,train
boss bless me tonight abeg even if na any amount hungry wan finish me for where ahde,negative,train
forex trading be like baba don put hand for head alot of persons make the mistake of opening multiple running trades abeg how you wan manage them without running mad,negative,train
wahala be like nigeria e dey paint pesin black,negative,train
where una dey see this money to chop four eggs eh this noodles looks terrible tho,negative,train
if i dey play ball i dey avoid these kind people i no dey bother my sef to go mack them theyll just use you and shine,negative,train
be like i came to church very early o sermon no wan end and my stomach don dey para,negative,train
wahala be like bicycle ooooo kuje rain don commot person roof breeze carry roof hit person windshield spoil d person gate breeze lift roof again to spoil another person house god abeg they still dey commot money for this house,negative,train
