tweet,label,tweet_clean,predicted_label,confidence,correct
this one don come with e chop chop attitude,negative,this one don come with e chop chop attitude,neutral,0.4456358823781182,False
make e sabi cord,neutral,make e sabi cord,positive,0.8347100565062073,False
tag me to better things na i don commot hand from chelsea matter,negative,tag me to better things na i don commot hand from chelsea matter,neutral,0.4428448047225674,False
me sef na human being,neutral,me sef na human being,positive,0.468852068029599,False
the reason why kaisha dey drink like dis na because of salahshe dey celebrate am for d house,positive,the reason why kaisha dey drink like dis na because of salahshe dey celebrate am for d house,negative,0.5684998069906351,False
aje baba table water from to malt from to na rich man dey chop beta food now when i go blow to take care of people god when,negative,aje baba table water from to malt from to na rich man dey chop beta food now when i go blow to take care of people god when,positive,0.5486541347339542,False
please make e dey fall there because if e try fall for my site i don lose money,negative,please make e dey fall there because if e try fall for my site i don lose money,positive,0.5289789983147603,False
warri nor dey carry last our people say las las na bracket first shopnow tshirt tshirt by contact us facebook zitu clothing zituclothingcom,positive,warri nor dey carry last our people say las las na bracket first shopnow tshirt tshirt by contact us facebook zitu clothing zituclothingcom,negative,0.46472376128182225,False
e be like say time don reach sef na who naira epp,positive,e be like say time don reach sef na who naira epp,negative,0.6223852744699754,False
you have been giving entrepreneurs students hospital bills what of me wey be doctor i like freebie too we sef na fans,positive,you have been giving entrepreneurs students hospital bills what of me wey be doctor i like freebie too we sef na fans,negative,0.4541977519195098,False
lol so u dey watch dat series nice,positive,lol so u dey watch dat series nice,neutral,0.5892580389650823,False
where shey u no go go come bless early morning blessing kk e fit reach me as bad belle dem dey sleep,positive,where shey u no go go come bless early morning blessing kk e fit reach me as bad belle dem dey sleep,negative,0.4828942603152478,False
when less becomes more sunday delight cotton fabric no fading no washing yards yards yards even as we dey pay school fees we gat slay click on the link,positive,when less becomes more sunday delight cotton fabric no fading no washing yards yards yards even as we dey pay school fees we gat slay click on the link,negative,0.4438190622411664,False
so we plenty wey dey wear glassesnice,positive,so we plenty wey dey wear glassesnice,neutral,0.562622614124018,False
the fish wey get that tail na virgin,positive,the fish wey get that tail na virgin,neutral,0.4358421253751067,False
get the cheapest data offer from lucid data world una don hear our icon so rush subscribe from lucid data world so una go stream anywhere una day icons we represent,positive,get the cheapest data offer from lucid data world una don hear our icon so rush subscribe from lucid data world so una go stream anywhere una day icons we represent,negative,0.5095576233271504,False
has anyone gone to a store to buy perfumecologne bleu by chanel is now k amourage k creed k na to continue with axe gang o cos im never buying those cheap ass ones they smell like crap even if na oud sef mba,neutral,has anyone gone to a store to buy perfumecologne bleu by chanel is now k amourage k creed k na to continue with axe gang o cos im never buying those cheap ass ones they smell like crap even if na oud sef mba,negative,0.7322980315424146,False
we no fit fight una when we no dey mad i like my phone comrade,positive,we no fit fight una when we no dey mad i like my phone comrade,negative,0.7764159656007212,False
una sub dey here fakenews peddlers,negative,una sub dey here fakenews peddlers,neutral,0.38811301315831165,False
lol na wetin dem dey promote na verbal abuse,negative,lol na wetin dem dey promote na verbal abuse,neutral,0.7908825249975481,False
e pass sef e rich oga zayyana days sir alhaji muhammad gajo,neutral,e pass sef e rich oga zayyana days sir alhaji muhammad gajo,positive,0.5006023338977922,False
braaaa i nor know o as dem dey half time for euros qualifiers na make me change channel,neutral,braaaa i nor know o as dem dey half time for euros qualifiers na make me change channel,positive,0.5506486371013828,False
their pikin dem papa,negative,their pikin dem papa,neutral,0.37571760761542206,False
that kind time wey e dey sweet to hold soft material,negative,that kind time wey e dey sweet to hold soft material,positive,0.7483222078076468,False
baba don jazzyplease nahgimme money tooplease nah abeg nahna beg i dey beg,negative,baba don jazzyplease nahgimme money tooplease nah abeg nahna beg i dey beg,positive,0.47743342547920053,False
is it wizkids song or drakes song u fucking dweeb if na like dat mr eazi get grammy nominationso if dem feature u song u don turn coowner guy goan sitdown,negative,is it wizkids song or drakes song u fucking dweeb if na like dat mr eazi get grammy nominationso if dem feature u song u don turn coowner guy goan sitdown,positive,0.6717082221010701,False
na demseff dem dey do nah,negative,na demseff dem dey do nah,neutral,0.518334651632142,False
who can spot me again to all my clients and prospects i say thank you e se imela na go de sosongho mercii cant achieve this without you permit me to be oliver twist i do well at my jobi need,positive,who can spot me again to all my clients and prospects i say thank you e se imela na go de sosongho mercii cant achieve this without you permit me to be oliver twist i do well at my jobi need,negative,0.6427223669032647,False
e dey always dey two we can share,positive,e dey always dey two we can share,negative,0.3907564540491158,False
how far na how e dey be that side,positive,how far na how e dey be that side,neutral,0.46227555397065717,False
na so dem dey talk,negative,na so dem dey talk,neutral,0.566354621076743,False
damn all this tech revelation is scary na why i no see anybody build with be this men dey red even my friends dey ask for money,positive,damn all this tech revelation is scary na why i no see anybody build with be this men dey red even my friends dey ask for money,negative,0.6545665549692783,False
sometimes e dey do me like na only me dey hear the lyrics,negative,sometimes e dey do me like na only me dey hear the lyrics,neutral,0.4059704450143835,False
just to let you know that if that your regularrandom knacks fall in love or wants you and you dont want e fit be your burial unto say if i cant have you nobody can have you my people say if fowl no chop e go scatter,negative,just to let you know that if that your regularrandom knacks fall in love or wants you and you dont want e fit be your burial unto say if i cant have you nobody can have you my people say if fowl no chop e go scatter,positive,0.7796036778639766,False
na lie na who de castigate a whole coal city like this oh boy take time you will be amazed you know when we don de go cinema for enugu during the days of eastern shop leventis when enugu was hub for the whole eastern states stop it,positive,na lie na who de castigate a whole coal city like this oh boy take time you will be amazed you know when we don de go cinema for enugu during the days of eastern shop leventis when enugu was hub for the whole eastern states stop it,negative,0.5672489239534705,False
lmfaoooooooo abeg behave as per like wey be just button dem dey beg for that one too,negative,lmfaoooooooo abeg behave as per like wey be just button dem dey beg for that one too,positive,0.44221576987923134,False
na rejoice na omoh the mama bin just fine,neutral,na rejoice na omoh the mama bin just fine,positive,0.6976625482736202,False
oga just say youre bringing ecmt to the party in that your luxury bus no wahala i go dey for fed secretariat bus stop abeg dont drive past me,positive,oga just say youre bringing ecmt to the party in that your luxury bus no wahala i go dey for fed secretariat bus stop abeg dont drive past me,negative,0.5661118498936846,False
no competition dear anyhow u wan run ur own run am dem no dey carry last or first just have a peaceful home,positive,no competition dear anyhow u wan run ur own run am dem no dey carry last or first just have a peaceful home,negative,0.5182678847247281,False
oga gud evening sir in fact dis na night good night sir i de busy de write all my village pipo names for you make you choose me na tiktok you go de play,negative,oga gud evening sir in fact dis na night good night sir i de busy de write all my village pipo names for you make you choose me na tiktok you go de play,positive,0.5381055688842056,False
see abeg make una answer this questionwhich bank in nigeria is the best put mouth this mata,neutral,see abeg make una answer this questionwhich bank in nigeria is the best put mouth this mata,positive,0.652445005088066,False
go do something without telling us in order to celebrate jp i don vex sef i no go congratulate u for your pop,negative,go do something without telling us in order to celebrate jp i don vex sef i no go congratulate u for your pop,positive,0.6360171740710066,False
wen wen wen wen you see a starstars always dripping too hard nice meeting you mamaso much love maam adedoyino radisson blu,negative,wen wen wen wen you see a starstars always dripping too hard nice meeting you mamaso much love maam adedoyino radisson blu,positive,0.7972008700302263,False
bryan don talk e ownlol,positive,bryan don talk e ownlol,neutral,0.3663513138702679,False
who your birth month help for this lockdown period abeg carry your birth month go one side first make we know wetin dey play for area,negative,who your birth month help for this lockdown period abeg carry your birth month go one side first make we know wetin dey play for area,positive,0.42511662923956683,False
dey reply me with one word dey expect me to carry the conversation where i wan carry am where i dey carry am go usu ra kwa nwanne gi nwanyị dia,negative,dey reply me with one word dey expect me to carry the conversation where i wan carry am where i dey carry am go usu ra kwa nwanne gi nwanyị dia,positive,0.4660097065734571,False
see as sanwoolu dey chance me for eko bridge ahhh suffer dey this lagos i dey comot,positive,see as sanwoolu dey chance me for eko bridge ahhh suffer dey this lagos i dey comot,negative,0.614593986030812,False
nor be una dey find proof,neutral,nor be una dey find proof,positive,0.36120875215314263,False
na so them sabi ooo you think sey na one better money them want withdraw,negative,na so them sabi ooo you think sey na one better money them want withdraw,neutral,0.40522567508049057,False
abeg be quiet you are not even the champion in your family your younger brother better pass you and i still beat am join who una wan call for me your ancestors go sabi play game na,negative,abeg be quiet you are not even the champion in your family your younger brother better pass you and i still beat am join who una wan call for me your ancestors go sabi play game na,positive,0.669103330670239,False
lol dem for give chang noww k dolz every month for soft for dem,positive,lol dem for give chang noww k dolz every month for soft for dem,negative,0.6439717117845102,False
people wey olympiakos knack de laugh me yesterday never seen a shameless lot in my life,negative,people wey olympiakos knack de laugh me yesterday never seen a shameless lot in my life,positive,0.4529879215206972,False
some matters na inbuilt e nor need settling abi you wan go ask mad woman how e take carry belle,positive,some matters na inbuilt e nor need settling abi you wan go ask mad woman how e take carry belle,negative,0.584193176587577,False
correct i don rest na to join the insane world remain now youre an agitator of feminism and i like the way you were calm and dishing out stuffs through out the whole discussion some other people for don call my late mum names i admire that weldone,positive,correct i don rest na to join the insane world remain now youre an agitator of feminism and i like the way you were calm and dishing out stuffs through out the whole discussion some other people for don call my late mum names i admire that weldone,negative,0.633640421060674,False
people wey no dey haggle price awon okay send your account number ill make the transfer now,positive,people wey no dey haggle price awon okay send your account number ill make the transfer now,negative,0.5269859029730404,False
omo if by next week i start dropping motivational quotes abeg send me money cuz e don happen e get the kind balance wey i see for my account now e fit cause depression,negative,omo if by next week i start dropping motivational quotes abeg send me money cuz e don happen e get the kind balance wey i see for my account now e fit cause depression,positive,0.5448299057455215,False
the mumu na bamteddy fan since e nor blow he wan dey insult laycon wey don blow clown,neutral,the mumu na bamteddy fan since e nor blow he wan dey insult laycon wey don blow clown,negative,0.5036314529085713,False
lol wetin be your own na by the way e check dm yin sir,positive,lol wetin be your own na by the way e check dm yin sir,neutral,0.5217552856980575,False
you are all that i want girl more precious to me than diamonds and pearls just like a star you light up my world the way i feel inside e always on my mind e e and i cant get over you girl cos you got me so confused you got me in the mood and you make me feel brand new,negative,you are all that i want girl more precious to me than diamonds and pearls just like a star you light up my world the way i feel inside e always on my mind e e and i cant get over you girl cos you got me so confused you got me in the mood and you make me feel brand new,positive,0.6759707044998033,False
you never even vexme wey go camp their branch i want to speak to your manager i say i want to speak to the manager,negative,you never even vexme wey go camp their branch i want to speak to your manager i say i want to speak to the manager,positive,0.607670200806302,False
but honestly the hype on this virus is too much more than the virus itself but guess what im a nigerian im safe i survived ebola i survived lassar ill survive corona too the same speed wey e use come na im e go use go no world is ending,positive,but honestly the hype on this virus is too much more than the virus itself but guess what im a nigerian im safe i survived ebola i survived lassar ill survive corona too the same speed wey e use come na im e go use go no world is ending,negative,0.6587755697104222,False
dey go dey do like say na only them be student na dere cds i dey for service i dey always change am for them ni,negative,dey go dey do like say na only them be student na dere cds i dey for service i dey always change am for them ni,neutral,0.4782185354382165,False
abeg wetin dey happen here ooo better content everywhere someone tag me to a gist for starts biko,positive,abeg wetin dey happen here ooo better content everywhere someone tag me to a gist for starts biko,neutral,0.46199100240982754,False
those people wen day post im not in a competition with anybody na dem gon gon day host the competition,negative,those people wen day post im not in a competition with anybody na dem gon gon day host the competition,positive,0.5702114831575544,False
guys its friday go out and have fun problem no de finish,positive,guys its friday go out and have fun problem no de finish,negative,0.8469962108065872,False
with that their rough road sef person fit get miscarriage,negative,with that their rough road sef person fit get miscarriage,positive,0.5261373962898017,False
oooh baby please please she no be average her body na savage keshi baby rora shea dia dia ko roraah,neutral,oooh baby please please she no be average her body na savage keshi baby rora shea dia dia ko roraah,positive,0.5167393639622129,False
go tell god that one na we say make una like glittering things if not we go for still dey paradise now,negative,go tell god that one na we say make una like glittering things if not we go for still dey paradise now,positive,0.51858437811161,False
we dey on with x for studio and we go dey ask dem question wey concern their kind music edmtune in,neutral,we dey on with x for studio and we go dey ask dem question wey concern their kind music edmtune in,negative,0.4768906199445196,False
una go chop am this season sha make e start,neutral,una go chop am this season sha make e start,positive,0.41791613061347677,False
i don commot hand for anyth wey concern baf dis year bath done n dusted,positive,i don commot hand for anyth wey concern baf dis year bath done n dusted,negative,0.5517733273968178,False
pls na looool i ddnt say de shld collect it omake them correct am b manutd fan drive me commot twitter lol,positive,pls na looool i ddnt say de shld collect it omake them correct am b manutd fan drive me commot twitter lol,negative,0.4970404071848103,False
alomo company don dey naija na,neutral,alomo company don dey naija na,negative,0.35024760485160744,False
na so d protest carry dem reach d spirit of benin protest atleast does ppl wey dem manage release go tnk der god,positive,na so d protest carry dem reach d spirit of benin protest atleast does ppl wey dem manage release go tnk der god,negative,0.6666167985290102,False
omo wer una dey see dat kind relationship na,positive,omo wer una dey see dat kind relationship na,negative,0.4330655892063316,False
come ooo next week friday is christmas ooo asin im not seeing any sign in my house ooo i dont understand ooo normally we for don run half bag of flour for chinchin even the meat dey sound like audio,positive,come ooo next week friday is christmas ooo asin im not seeing any sign in my house ooo i dont understand ooo normally we for don run half bag of flour for chinchin even the meat dey sound like audio,negative,0.7422749817804163,False
im sure you guys had fun but youre not showing me pics of the oba na all these men with big belle you dey post,positive,im sure you guys had fun but youre not showing me pics of the oba na all these men with big belle you dey post,negative,0.6363853087278949,False
i remember dat day for freddo house wey dalo no gree make you talk on the matter funny as fuck,positive,i remember dat day for freddo house wey dalo no gree make you talk on the matter funny as fuck,negative,0.4412071181355679,False
if preeq see toto e go charge like say e fit do something but if e enter see wetin others have seen e go bow,neutral,if preeq see toto e go charge like say e fit do something but if e enter see wetin others have seen e go bow,negative,0.6979859586715241,False
before i took this picture ehn the kind of run i did anyway who don fine don fine im still your surest plug for quality bedsheets and duvets made from the finest cotton quality for your kids and you come and patronize me today and testify,negative,before i took this picture ehn the kind of run i did anyway who don fine don fine im still your surest plug for quality bedsheets and duvets made from the finest cotton quality for your kids and you come and patronize me today and testify,positive,0.58671040074785,False
how much you think say this one be e still no fill pot oh k with abeg the fish big na me wey stand afar snap cause e dey splash water,positive,how much you think say this one be e still no fill pot oh k with abeg the fish big na me wey stand afar snap cause e dey splash water,negative,0.49089393562808725,False
my belle don dey big like own because of am o,positive,my belle don dey big like own because of am o,negative,0.7372138082358438,False
as for those wen want my waffi bros to comot d house na unah go pack unah load go,negative,as for those wen want my waffi bros to comot d house na unah go pack unah load go,positive,0.4505307386673898,False
na pipo wey no like me na,negative,na pipo wey no like me na,positive,0.51858471733825,False
don don don don foxy i remember when we used to call him sango afolabi sha has to do thanksgiving for his glow up tbh‍️,neutral,don don don don foxy i remember when we used to call him sango afolabi sha has to do thanksgiving for his glow up tbh️,positive,0.4984464672347029,False
pillow under the head wee never allow hair to be smooth laidat na u had to comb or brush it fest but that smile eh lai lo make up‍️‍️‍️ melanin poppin just no wound me abeg na my lane i dey waka so,positive,pillow under the head wee never allow hair to be smooth laidat na u had to comb or brush it fest but that smile eh lai lo make up️️️ melanin poppin just no wound me abeg na my lane i dey waka so,negative,0.516349004776198,False
where can i find this kain fine specimen the earrings come topup the fineness finish this wan na square meal comman see buffet e slippery,positive,where can i find this kain fine specimen the earrings come topup the fineness finish this wan na square meal comman see buffet e slippery,negative,0.46739564727929445,False
in warri how much i dey owe you sef na today den dey owe pesin naija sef dey owe nah nor dey stress me,negative,in warri how much i dey owe you sef na today den dey owe pesin naija sef dey owe nah nor dey stress me,neutral,0.4518826435174514,False
amen able rep btw na mfm you dey worship,positive,amen able rep btw na mfm you dey worship,negative,0.4537318643496386,False
se na like this we go dey dey e haaa don na like this we go dey dey e,negative,se na like this we go dey dey e haaa don na like this we go dey dey e,positive,0.5434871198414073,False
na all those kind guys for exam hall wey go ask you whether you dey sure when dem dey dub,positive,na all those kind guys for exam hall wey go ask you whether you dey sure when dem dey dub,negative,0.5580199465217344,False
na anambra i come from i no need your motivational quotes i don dey see rich men since dey born me period,negative,na anambra i come from i no need your motivational quotes i don dey see rich men since dey born me period,positive,0.4290914272367513,False
na assassin u wan date,negative,na assassin u wan date,neutral,0.3680927255697493,False
i dey tell one of my guy say e nor dey reach weeks e think say na show offi just say i dey pray for him big break say we go visit this issue again,positive,i dey tell one of my guy say e nor dey reach weeks e think say na show offi just say i dey pray for him big break say we go visit this issue again,negative,0.5537319148409166,False
na music dem dey show,neutral,na music dem dey show,positive,0.3597398496690316,False
men biko how much will be enough for you to barb your hair and look good ladies tag a guy and pay for him no be only men go dey pay una bills i know some women will want to tag some + men wey don go bald you will be disqualified ️,neutral,men biko how much will be enough for you to barb your hair and look good ladies tag a guy and pay for him no be only men go dey pay una bills i know some women will want to tag some + men wey don go bald you will be disqualified ️,negative,0.6710972499899842,False
e be like say na like this we go settle am patronize me i dey try raise tuition fee tuition fee don increase nigeria,positive,e be like say na like this we go settle am patronize me i dey try raise tuition fee tuition fee don increase nigeria,negative,0.5849941025435268,False
omo no be everybody wen you follow wen no follow you back dey proud oh some people really really no just care about this followers thing no be pride,positive,omo no be everybody wen you follow wen no follow you back dey proud oh some people really really no just care about this followers thing no be pride,negative,0.5407652847013283,False
