tweet,label,tweet_clean,predicted_label,correct
this one don come with e chop chop attitude,negative,this one don come with e chop chop attitude,neutral,False
make e sabi cord,neutral,make e sabi cord,positive,False
tag me to better things na i don commot hand from chelsea matter,negative,tag me to better things na i don commot hand from chelsea matter,neutral,False
this ur face wey u bone don pursue the love comot ooo,negative,this ur face wey u bone don pursue the love comot ooo,positive,False
me sef na human being,neutral,me sef na human being,positive,False
n toll gate fee na wetin dey trigger u people lol shame,negative,n toll gate fee na wetin dey trigger u people lol shame,neutral,False
the reason why kaisha dey drink like dis na because of salahshe dey celebrate am for d house,positive,the reason why kaisha dey drink like dis na because of salahshe dey celebrate am for d house,negative,False
aje baba table water from to malt from to na rich man dey chop beta food now when i go blow to take care of people god when,negative,aje baba table water from to malt from to na rich man dey chop beta food now when i go blow to take care of people god when,positive,False
please make e dey fall there because if e try fall for my site i don lose money,negative,please make e dey fall there because if e try fall for my site i don lose money,positive,False
only the thought of this na this dey my mind already si tiny ya enough towel oh,positive,only the thought of this na this dey my mind already si tiny ya enough towel oh,negative,False
warri nor dey carry last our people say las las na bracket first shopnow tshirt tshirt by contact us facebook zitu clothing zituclothingcom,positive,warri nor dey carry last our people say las las na bracket first shopnow tshirt tshirt by contact us facebook zitu clothing zituclothingcom,negative,False
e be like say time don reach sef na who naira epp,positive,e be like say time don reach sef na who naira epp,negative,False
you have been giving entrepreneurs students hospital bills what of me wey be doctor i like freebie too we sef na fans,positive,you have been giving entrepreneurs students hospital bills what of me wey be doctor i like freebie too we sef na fans,negative,False
omo see fine bae bae hw far waiting u dey look for here if na bf i dey here for u,positive,omo see fine bae bae hw far waiting u dey look for here if na bf i dey here for u,neutral,False
lol so u dey watch dat series nice,positive,lol so u dey watch dat series nice,neutral,False
dey celebrate awi naija pikin wen dey based for londone na english rappersongwriter n singer e name na,positive,dey celebrate awi naija pikin wen dey based for londone na english rappersongwriter n singer e name na,neutral,False
where shey u no go go come bless early morning blessing kk e fit reach me as bad belle dem dey sleep,positive,where shey u no go go come bless early morning blessing kk e fit reach me as bad belle dem dey sleep,negative,False
wetin e end na cavs win,negative,wetin e end na cavs win,neutral,False
