tweet,label,original_split
yeah ‍️the guy wants to trend dat was why e join nysc e cant trend with good music again,negative,train
today marks one small milestone in the beautiful journey of lifei believe dat im the equivalent to a fine wine or a delicious cheesed older the better im trilled to be another year today i create within me a vacuum that no one can and will ever fill except god,negative,train
gaskiya na sha wahala na bils they call me attention seeker e choke,negative,train
e dey do me like make friday just come im tired of here already,negative,train
they say out wit old and in wit newbut im not letting go of good friends like uthank u for being an incredible frndtank u so much for affecting my life positively this year n the past yearsgod bless and be wit you allu r loved by me,negative,train
you are asking me how thing do you even know how i feel im madly in love with you i just hope you can see but na lie u go dey reason matter instead of you to come let me be you kids father,negative,train
if you love rap song go and listen to ft eriggaraw dey burst my head abeg every verse is raw even the fly gangsta album na raw unrefined,negative,train
yeah i just checked and i see u make burger trust me im not a beggar but my love for dis picture is bigger baby i want u to love me deeper ️or do u know tina yeah dat girl been dey disturb be wella but i no dey reason her mattersweety joor shey mo ley av a taste i mean burger,negative,train
coach shay you will enter and play the rest you just dey say calm down since and dem dey flog me,negative,train
just look at me making mouth on this day ‍️ ase i was just doing myself babe wen i dey toast don dey collect better body massage on a reg she calls it sensual massage and even promised to pay for a session for me am die o,negative,train
if you be wetin you for do i sha pray the guy does the right thing which is making sure those girls are properly dealt with with the law shae una wan drag,negative,train
good lord in heaven spare me bad energy and bad vibes ya allah help me i gats to use others bad situation as my prayer point so wetin dey shele to dem no go shele to me,negative,train
i played straight from my heart for this taxify driver when the song finished he said abeg you fit play that your straight from my belle song again abeg i really feel that song,negative,train
i toast u and u say no u ask for money i say no or i didnt respondu con dey vex no b persin wey gain add mission dey pay sch fees ‍️‍️‍️ oya u self reason am nah,negative,train
but wait on magbe with said ki eba toh jina kan le dada ori na la ma ti ro but dem no dey turn eba ontop fire i wish say na ki amala toh jina dada ori na la ma ti ro would make everything meaningful but i love you like that,negative,train
na dem dey rush us was written by inspired men of god even the bible confirmed it long before we were born,negative,train
be like say na dem dey rush us o,negative,train
body hot like rihana na na kimani kill e show wah you into i want to really know,negative,train
abeg yoruba is a beautiful language and na curse dey sweet pass,negative,train
make una come buy wetin we dey sell oh kindly help rt also for our customers on your tl,negative,train
happy birthday bro god shall continually enlarge your coast after the order of jabez in the name of jesus i no far from you na i dey igandoikotun anytime we fit link up,negative,train
me i don send out deliveries already i dey bed dey enjoy ac come let me employ you to be frying puff puff,negative,train
be like my belle don dey big osmall enjoyment,negative,train
im not even bothered again sef todays discovery just made me realise im actually doing something great,negative,train
god bless you una don dey blow me gradually,negative,train
person wey we meet that year i even give am k to settle security as baba no hold cash for hand when he won dey move thinking sey na investment till tomorrow otedola dey owe me k,negative,train
bae called dis morning asking me to com spend de day with her but i told her i gad be work she said on an average day hw much do u make i told her to k aunty sent k to me saying she hav paid me for de day wit a bae lik dis y wont we leave in peace n harmony,negative,train
